date,volumn,open,close,low,high
2016-11-30T00:00:00,640,98360.0,93080.8088235294,80463.8571428571,105580.625
2016-01-31T00:00:00,1347,63855.8846153846,67414.6363636364,60258.3461538462,73654.09375
2014-06-30T00:00:00,358,50354.5555555556,53574.4444444444,41806.3333333333,64786.6666666667
2012-05-31T00:00:00,387,30972.75,32638.7272727273,30972.75,38461.1
2015-07-31T00:00:00,951,58068.75,56600.3461538462,47180.7727272727,65437.1333333333
2016-06-30T00:00:00,802,75496.7058823529,82190.7049180328,70452.6666666667,87560.625
2014-11-30T00:00:00,577,52601.4736842105,54474.86,44512.7142857143,61263.4666666667
2017-07-31T00:00:00,1820,102508.25,62192.7192982456,56798.7913043478,114817.375
2013-08-31T00:00:00,437,61402.8333333333,56370.6956521739,45242.4,62445.0
2016-02-29T00:00:00,873,69935.92,66265.3924050633,54953.0,74841.4545454545
2014-10-31T00:00:00,971,48609.4545454545,51854.8518518519,45938.4210526316,57174.1578947368
2015-10-31T00:00:00,817,59096.8461538462,63981.4230769231,54712.3414634146,69673.8823529412
2017-08-31T00:00:00,3446,58797.7272727273,100293.111111111,54651.1734693878,100293.111111111
2011-12-31T00:00:00,185,31885.8,32987.75,26033.5,45831.75
2017-06-30T00:00:00,222,104703.6,96015.7222222222,88463.0,122297.25
2012-11-30T00:00:00,418,41929.0909090909,42288.95,32305.0,48370.0
2013-10-31T00:00:00,331,50506.75,57229.6666666667,44907.3333333333,65990.3636363636
2012-08-31T00:00:00,311,36151.25,36260.0,29554.6666666667,46614.6666666667
2015-03-31T00:00:00,983,58146.8571428571,54335.8775510204,50608.2631578947,59908.6666666667
2012-04-30T00:00:00,291,43276.5714285714,32891.2666666667,28798.8,44578.0
2013-01-31T00:00:00,447,44027.0,45346.8,39863.25,47984.5
2016-05-31T00:00:00,745,70468.5454545455,69002.6086956522,64109.5294117647,84294.8965517241
2013-06-30T00:00:00,317,49126.8888888889,47884.4166666667,40833.6,65628.7777777778
2013-11-30T00:00:00,256,53272.1666666667,51715.8888888889,43934.5,71466.5
2015-12-31T00:00:00,1488,64160.1739130435,57889.6346153846,56667.0476190476,68285.375
2016-07-31T00:00:00,1264,74028.4,82842.1384615385,69954.6666666667,85713.1935483871
2013-04-30T00:00:00,179,52595.8,49073.25,39275.0,57223.0
2015-01-31T00:00:00,599,54773.0,49777.5925925926,46417.0833333333,62509.9166666667
2015-02-28T00:00:00,375,56252.0571428571,54251.3125,44373.8333333333,71934.5
2016-03-31T00:00:00,1418,70353.1052631579,80894.9583333333,68849.0,81939.1707317073
2012-09-30T00:00:00,359,45055.4,40764.2,32844.3333333333,48311.7142857143
2013-05-31T00:00:00,297,47310.2,54776.1666666667,39486.0,59622.7
2012-07-31T00:00:00,433,39369.2777777778,32668.9090909091,32007.4285714286,42716.6666666667
2013-02-28T00:00:00,227,42734.4545454545,43441.5882352941,39701.0,67621.0
2012-12-31T00:00:00,528,45763.1111111111,35909.3157894737,35388.4285714286,45763.1111111111
2013-07-31T00:00:00,323,59555.75,45738.8181818182,42281.5,63215.0
2016-10-31T00:00:00,535,82022.9,94942.9285714286,81076.0,103536.166666667
2015-05-31T00:00:00,1140,52551.4230769231,53958.8644067797,51908.9677419355,59938.175
2016-09-30T00:00:00,1696,78754.2631578947,92471.217948718,78754.2631578947,94948.2115384615
2011-10-31T00:00:00,140,3.0,34226.3333333333,3.0,57481.6666666667
2015-09-30T00:00:00,757,58360.8125,61682.7272727273,53866.9677419355,66123.1071428571
2016-12-31T00:00:00,1015,98011.3,95397.6,89367.6666666667,106833.379310345
2014-07-31T00:00:00,414,49436.0,47635.6,39157.4,70673.2
2013-12-31T00:00:00,300,58944.3076923077,56010.6428571429,37885.6666666667,62138.6666666667
2014-12-31T00:00:00,554,50489.0,47963.7,47963.7,61240.5
2017-05-31T00:00:00,184,126947.0,120201.2,68527.0,126947.0
2014-04-30T00:00:00,329,48776.2,54493.4285714286,48776.2,68080.2857142857
2015-06-30T00:00:00,1010,51704.1739130435,61821.2926829268,50460.0454545455,64292.7727272727
2014-05-31T00:00:00,328,58012.6363636364,53019.3571428571,42863.8333333333,69507.6666666667
2017-04-30T00:00:00,241,102146.4,107991.416666667,94155.75,124311.166666667
2012-03-31T00:00:00,350,33303.3636363636,34167.0,28136.3333333333,37702.0
2015-11-30T00:00:00,983,60291.1086956522,59610.4423076923,55249.5535714286,64359.2307692308
2017-03-31T00:00:00,1038,117324.85,103465.333333333,101107.176470588,119623.333333333
2011-11-30T00:00:00,128,42896.6666666667,33416.5,17853.3333333333,51786.0
2012-01-31T00:00:00,86,32138.0,30811.3333333333,20502.3333333333,37150.8
2014-03-31T00:00:00,308,60699.7692307692,54343.0833333333,43612.0,63070.2
2014-08-31T00:00:00,425,45971.0,52074.48,45304.375,58118.8181818182
2012-02-29T00:00:00,264,28773.0,29962.4,28343.0,36116.5
2013-09-30T00:00:00,387,53623.7894736842,46360.0,41128.5,62780.9230769231
2015-04-30T00:00:00,1130,53402.652173913,59168.0,50662.4431818182,60213.21875
2015-08-31T00:00:00,968,56367.1282051282,61837.0,53003.7272727273,69749.4
2016-04-30T00:00:00,679,76102.25,69408.0869565217,58829.3333333333,86945.0416666667
2012-10-31T00:00:00,344,30429.0,37660.8461538462,30429.0,49824.2727272727
2012-06-30T00:00:00,419,32295.0,34843.6,30336.3333333333,40101.0
2013-03-31T00:00:00,742,53110.8333333333,45043.4444444444,41867.4444444444,57251.7272727273
2016-08-31T00:00:00,1766,79567.6428571429,83871.0444444444,70353.5909090909,88051.6153846154
